session_test_id,session_uuid,trial_id,rating_stimulus,rating_score,rating_time,rating_date,rating_comment
style_transfer,b855b983-a931-4629-8617-a915d82251b0,delay2,anchor,81,29358,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,delay2,reference,100,29358,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,delay2,end2end,40,29358,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,delay0,anchor,19,38993,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,delay0,reference,100,38993,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,delay0,end2end,40,38993,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,ambience1,end2end,19,33733,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,ambience1,anchor,59,33733,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,ambience1,reference,100,33733,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,multiband2,style_transfer,100,29775,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,multiband2,reference,100,29775,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,multiband2,end2end,92,29775,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,multiband2,anchor,60,29775,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,overdrive1,reference,100,20657,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,overdrive1,end2end,40,20657,"28/03/2023, 09:25:40",
style_transfer,b855b983-a931-4629-8617-a915d82251b0,overdrive1,anchor,79,20657,"28/03/2023, 09:25:40",
